model,split,threshold,accuracy,precision,recall,f1,f2,roc_auc,beta
Baseline_XGB_1,train,0.48773449659347534,0.9897333333333334,0.991075606658199,0.9883666666666666,0.9897192830201275,0.9889072693072213,0.9993177322222223,1
Baseline_XGB_1,test,0.8775783181190491,0.9946333333333334,0.9884726224783862,0.976138353765324,0.9822667694680031,0.978580520563578,0.9994186791989241,1
Baseline_XGB_1,val,0.9185211062431335,0.9955,0.9909645358030269,0.9788041053101294,0.9848467841508587,0.9812122567658241,0.9994251286481104,1
Tuned_XGB_1,test,0.891960084438324,0.9943666666666666,0.9880186376747282,0.9748248686514887,0.9813774104683196,0.9774353571271786,0.9993290071900811,1
Tuned_XGB_1,val,0.9480023980140686,0.9954666666666667,0.9927437641723356,0.9767960731816153,0.9847053531264057,0.9799444892112095,0.9993298340753528,1
Tuned_XGB_1,train,0.5095012784004211,0.9900166666666667,0.9911463031639437,0.9888666666666667,0.9900051726151741,0.9893217546738166,0.9993873827777777,1
Baseline_RF_1,train,0.4949999999999999,0.9944166666666666,0.9986552361741469,0.9901666666666666,0.9943928362206043,0.9918528164546395,0.9995489944444444,1
Baseline_RF_1,val,0.97,0.9933333333333333,0.9802602063705698,0.9750111557340473,0.9776286353467561,0.9760564638613418,0.9978802400342547,1
Baseline_RF_1,test,0.84,0.9926333333333334,0.9713728041639558,0.9805166374781086,0.9759233031920689,0.9786741248962111,0.9978870890349265,1
Tuned_RF_1,val,0.8206670581818345,0.9933333333333333,0.9724183583406885,0.9832663989290495,0.9778122919902374,0.9810774710596617,0.9989954680737562,1
Tuned_RF_1,test,0.8987104176275297,0.9926333333333334,0.9799072642967542,0.9715411558669002,0.9757062767945477,0.9732029296960659,0.9990425947507973,1
Tuned_RF_1,train,0.5807172968227006,0.9918666666666667,0.9960333467796154,0.9876666666666667,0.9918323625895428,0.9893287389480996,0.9994712388888889,1
Baseline_RF_2,train,0.3926169355657465,0.99375,0.996780360197203,0.9907,0.9937308791815036,0.991910130359038,0.9995489944444444,2
Baseline_RF_2,test,0.57,0.9912666666666666,0.9567246499787866,0.9873029772329247,0.9717733247145012,0.9810319324806405,0.9978870890349265,2
Baseline_RF_2,val,0.78,0.9928333333333333,0.9645112127150011,0.9883980365908077,0.9763085399449036,0.9835264863904801,0.9978802400342547,2
Tuned_RF_2,train,0.2893092301653323,0.99,0.9885668705131614,0.9914666666666667,0.990014645187059,0.9908853472629391,0.9994712388888889,2
Tuned_RF_2,val,0.6297479019415406,0.9922,0.9585492227979274,0.9906291834002677,0.9743252139565504,0.9840425531914891,0.9989954680737562,2
Tuned_RF_2,test,0.5458850366804913,0.9910333333333333,0.9553060792205041,0.9873029772329247,0.9710410162557864,0.9807332666463706,0.9990425947507973,2
Baseline_XGB_2,train,0.23551571369171143,0.9877833333333333,0.9841521918941274,0.9915333333333334,0.9878289746782898,0.9900482609419203,0.9993177322222223,2
Baseline_XGB_2,val,0.8775783181190491,0.9954666666666667,0.986565158978952,0.9830432842481035,0.9848010728654448,0.9837456461552202,0.9994251286481104,2
Baseline_XGB_2,test,0.5357246398925781,0.9904,0.9503367003367004,0.98861646234676,0.9690987124463519,0.9807157748436415,0.9994186791989241,2
